,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Lifehacker.com'}",Claire Lower,Your BLT Needs This Stealth Bacon,"A BLT is a pretty perfect sandwich. I don’t thing I need to explain why the combination of crispy, salty bacon, crunchy lettuce, creamy mayo, and juicy tomatoes taste good together. Each component has a part to play, and they play it oh-so-well, but I think t…",https://lifehacker.com/your-blt-needs-this-stealth-bacon-1849448203,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/57976b2e74e5358c45df1aea447022c6.jpg",2022-08-24T14:30:00Z,"A BLT is a pretty perfect sandwich. I dont thing I need to explain why the combination of crispy, salty bacon, crunchy lettuce, creamy mayo, and juicy tomatoes taste good together. Each component has… [+3627 chars]"
1,"{'id': 'cnn', 'name': 'CNN'}","Silvia Marchetti, CNN",8 Italian villages you may have never heard of,"Travelers tend to head to the big name destinations like Venice, Florence, Rome and even Naples when visiting Italy. But there are many equally, if not more, beautiful villages in the European country that are largely unknown, even among some Italians.",https://www.cnn.com/travel/article/8-italian-villages-you-may-have-never-heard-of/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220901112230-03-body-8-italian-villages-never-heard-of-civita-castellana-super-tease.jpg,2022-09-08T12:45:29Z,"(CNN) Travelers tend to head to the big name destinations like Venice, Florence, Rome, and even Naples when visiting Italy.
But there are many equally, if not more, beautiful villages in the Europea… [+6782 chars]"
2,"{'id': 'cnn', 'name': 'CNN'}",Opinion by Jill Filipovic,Opinion: New Yorkers sent an election message. And it wasn't about inflation,"It's becomingly increasingly clear that when abortion is on the ballot, abortion rights win. That's one lesson from this week's special election in a swing district of New York's Hudson Valley, in which pro-choice Democrat Pat Ryan beat Republican Marc Molina…",https://www.cnn.com/2022/08/24/opinions/new-york-19-election-ryan-molinaro-abortion-filipovic/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220824124255-01-pat-ryan-0822-super-tease.jpg,2022-08-24T21:03:52Z,"Jill Filipovic is a journalist based in New York and author of the book ""OK Boomer, Let's Talk: How My Generation Got Left Behind."" Follow her on Twitter. The opinions expressed in this commentary ar… [+9730 chars]"
3,"{'id': 'cnn', 'name': 'CNN'}","By Forrest Brown, CNN",Best places to go for fall: A dozen cool spots around the world,"From fall classics such as Bavaria to vibrant cities like Buenos Aires, here are a dozen places around the world that would make an excellent autumn getaway.",https://www.cnn.com/travel/article/best-places-fall-travel-2022/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220815124843-04-body-best-fall-travel-2022-azores-super-tease.jpg,2022-08-21T04:07:01Z,"(CNN) The highly anticipated, jam-packed summer travel season proved to be challenging, to put it nicely. 
Makes you yearn for a nice autumn vacation, huh? Perhaps a little less crowded, maybe less … [+12635 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",,"Pioneering Japanese woman photojournalist dies, aged 107 - Reuters","Tsuneko Sasamoto, a pioneering photographer considered to be Japan's first female photojournalist, who swore by a glass of red wine each night as one of the keys to good health, has died at the age of 107, domestic media said on Monday.",https://www.reuters.com/world/asia-pacific/pioneering-japanese-woman-photojournalist-dies-aged-107-2022-08-22/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=108,2022-08-22T08:26:00Z,"TOKYO, Aug 22 (Reuters) - Tsuneko Sasamoto, a pioneering photographer considered to be Japan's first female photojournalist, who swore by a glass of red wine each night as one of the keys to good hea… [+1215 chars]"
5,"{'id': None, 'name': 'The Guardian'}",Fiona Beckett,Five underrated French wines – and the overrated to avoid | Fiona Beckett on drinks,"France makes some of the world’s best wines, as well as some of the most over-rated. But you can you still nab a bargain if you shop wiselyIf you’ve just come back from a holiday in France, you may well be basking in the glow of all things French, particularl…",https://amp.theguardian.com/food/2022/aug/19/five-underrated-french-wines-and-overrated-to-avoid-fiona-beckett,https://i.guim.co.uk/img/media/454decff286b6c108db9605e585ae394c6e11987/0_194_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=8daacc95e25f0044e1a479a23152f43f,2022-08-19T13:00:12Z,"If youve just come back from a holiday in France, you may well be basking in the glow of all things French, particularly the wine you bought for a couple of euros down at the local cooperative. And e… [+3364 chars]"
6,"{'id': None, 'name': 'The Guardian'}",David Williams,"The best, finest and most irresistible supermarket own-brand wines | David Williams","When it comes to enjoying decent and affordable wines on a budget, supermarket own-brand bottles are the way to goCo-op Irresistible Casablanca Valley Pinot Noir, Casablanca, Chile 2021 (£7, The Co-op) A rule of supermarket thrift that many of us seem to foll…",https://amp.theguardian.com/food/2022/aug/28/the-best-finest-most-irresistible-supermarket-own-brand-wines,https://i.guim.co.uk/img/media/cde7e5fa0ae2ef6ac640d0b090b7627ea2752598/0_267_8000_4800/master/8000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=9d171949e8f2be634c2b2f87e429bea7,2022-08-28T05:00:19Z,"Co-op Irresistible Casablanca Valley Pinot Noir, Casablanca, Chile 2021 (£7, The Co-op) A rule of supermarket thrift that many of us seem to follow: when the chips are down and the bills are rising, … [+2907 chars]"
7,"{'id': None, 'name': 'The Guardian'}",Rachel Roddy,Rachel Roddy’s recipe for peaches and basil in wine | A kitchen in Rome,"A pleasing punch of sweetened chilled wine flavoured with basil and harbouring chunks of ripe, delicious peachStefano’s legs are so long that I was worried they wouldn’t fit under our small, narrow table. He reassured me that he was used to it and, like an ol…",https://amp.theguardian.com/food/2022/aug/22/peaches-and-basil-in-wine-recipe-rachel-roddy,https://i.guim.co.uk/img/media/6215b5d4014b3642fd2498981e3e3ce72f52e0dc/0_495_8030_4820/master/8030.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=462abc8427d6e08779f57d706567f768,2022-08-22T09:00:34Z,"Stefanos legs are so long that I was worried they wouldnt fit under our small, narrow table. He reassured me that he was used to it and, like an old-fashioned deck chair, folded himself up before ext… [+3121 chars]"
8,"{'id': None, 'name': 'The Guardian'}",David Williams,Stuck in a rut with your wine? Here are some great alternative choices,"We all like our tried and trusted favourites, but there’s a world full of wine varieties out there to tryBarco del Corneta Cucú Verdejo, Castilla y León, Spain 2021 (£18, thesourcingtable.com) According to Wine Grapes, Jancis Robinson, Julia Harding and José …",https://amp.theguardian.com/food/2022/sep/04/david-williams-wines-of-the-week-great-alternative-choices,https://i.guim.co.uk/img/media/458502a719ad412f07a9071a166f6c961a99169c/0_182_4961_2976/master/4961.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=3d2f3c07b5925b4c67eb355df73a560c,2022-09-04T05:00:38Z,"Barco del Corneta Cucú Verdejo, Castilla y León, Spain 2021 (£18, thesourcingtable.com) According to Wine Grapes, Jancis Robinson, Julia Harding and José Vouillamozs definitive reference work on the … [+3211 chars]"
9,"{'id': None, 'name': 'The Guardian'}",David Williams,How to enjoy great restaurant wines at affordable prices without leaving home,"When we’re all having to make our money go further, the at-home service provided by restaurant suppliers is worth checking outFew documents offer a better, more acute insight into the lives and means of the very rich than a top-end wine list. The hefty tome t…",https://amp.theguardian.com/food/2022/aug/21/how-to-enjoy-great-restaurant-wines-at-affordable-prices-without-leaving-home,https://i.guim.co.uk/img/media/006932bb8a464cd6341e88c968c2571c09972d36/0_0_5332_3200/master/5332.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=0527a64900b3ae0542f75d0f5d4ad621,2022-08-21T12:00:07Z,"Few documents offer a better, more acute insight into the lives and means of the very rich than a top-end wine list. The hefty tome that is perhaps the worlds most extraordinary example of this, from… [+4883 chars]"
