"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1",7.4,0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"1"
"2",7.8,0.88,0,2.6,0.098,67,0.9968,3.2,0.68,9.8,"1"
"3",7.8,0.76,0.04,2.3,0.092,54,0.997,3.26,0.65,9.8,"1"
"4",11.2,0.28,0.56,1.9,0.075,60,0.998,3.16,0.58,9.8,"2"
"5",7.4,0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"1"
"6",7.4,0.66,0,1.8,0.075,40,0.9978,3.51,0.56,9.4,"1"
"7",7.9,0.6,0.06,1.6,0.069,59,0.9964,3.3,0.46,9.4,"1"
"8",7.3,0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10,"2"
"9",7.8,0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,"2"
"10",6.7,0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,"1"
"11",5.6,0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,"1"
"12",8.5,0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,"2"
"13",7.6,0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,"1"
"14",7.9,0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,"1"
"15",8.5,0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,"1"
"16",6.9,0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,"2"
"17",6.3,0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,"1"
"18",7.6,0.41,0.24,1.8,0.08,11,0.9962,3.28,0.59,9.5,"1"
"19",7.1,0.71,0,1.9,0.08,35,0.9972,3.47,0.55,9.4,"1"
"20",7.8,0.645,0,2,0.082,16,0.9964,3.38,0.59,9.8,"2"
"21",6.7,0.675,0.07,2.4,0.089,82,0.9958,3.35,0.54,10.1,"1"
"22",8.3,0.655,0.12,2.3,0.083,113,0.9966,3.17,0.66,9.8,"1"
"23",5.2,0.32,0.25,1.8,0.103,50,0.9957,3.38,0.55,9.2,"1"
"24",7.8,0.6,0.14,2.4,0.086,15,0.9975,3.42,0.6,10.8,"2"
"25",8.1,0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,"2"
"26",8.8,0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,"0"
"27",7.7,0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,"1"
"28",8.8,0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,"1"
"29",6.6,0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,"2"
"30",6.6,0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,"2"
"31",7.6,0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,"2"
"32",10.2,0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,"1"
"33",7.8,0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,"1"
"34",7.3,0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,"2"
"35",8.8,0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,"1"
"36",7.7,0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,"1"
"37",7,0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,"1"
"38",6.6,0.705,0.07,1.6,0.076,15,0.9962,3.44,0.58,10.7,"1"
"39",7.7,0.69,0.22,1.9,0.084,94,0.9961,3.31,0.48,9.5,"1"
"40",8.3,0.675,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2,"0"
"41",8.8,0.41,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,"1"
"42",6.8,0.785,0,2.4,0.104,30,0.9966,3.52,0.55,10.7,"2"
"43",6.7,0.75,0.12,2,0.086,80,0.9958,3.38,0.52,10.1,"1"
"44",6.2,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,"1"
"45",7.4,0.5,0.47,2,0.086,73,0.997,3.36,0.57,9.1,"1"
"46",6.3,0.3,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3,"2"
"47",6.9,0.55,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,"1"
"48",7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"1"
"49",7,0.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9,"1"
"50",7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"1"
"51",6.8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,"1"
"52",7.6,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,"1"
"53",8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"2"
"54",8.3,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,"2"
"55",8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"2"
"56",8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"1"
"57",7.2,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,"1"
"58",8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"1"
"59",6.2,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,"1"
"60",8.4,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,"1"
"61",10.1,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,"2"
"62",9.4,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,"2"
"63",8.3,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,"2"
"64",7.3,0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2,"1"
"65",7.8,0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,"1"
"66",8,0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,"2"
"67",5.6,0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,"1"
"68",8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"1"
"69",7.2,0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,"1"
"70",8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"1"
"71",6.3,0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,"1"
"72",5.8,0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,"1"
"73",6.9,0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,"2"
"74",7.3,0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,"2"
"75",7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"1"
"76",7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"1"
"77",7.1,0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,"1"
"78",6.8,0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,"2"
"79",7.6,0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,"1"
"80",7.8,0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,"2"
"81",7.8,0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,"1"
"82",6.8,0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,"1"
"83",7.3,0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,"0"
"84",6.8,0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,"2"
"85",7.9,0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,"0"
"86",8,0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,"2"
"87",7.4,0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,"2"
"88",6.9,0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,"1"
"89",7.3,0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,"1"
"90",7.5,0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,"2"
"91",7,0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,"1"
"92",8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"1"
"93",8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"1"
"94",7.2,0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,"1"
"95",6.8,0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,"1"
"96",6.7,0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,"2"
"97",8.9,0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,"1"
"98",7.4,0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,"1"
"99",6.4,0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,"2"
"100",7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"1"
"101",7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"1"
"102",7.3,0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,"1"
"103",9.6,0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3,"2"
"104",7,0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2,"2"
"105",7.8,0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,"1"
